application_id,customer_id,application_date,loan_amount,loan_purpose,employment_status,annual_income,debt_to_income_ratio,credit_score,application_status,default_flag
APP_0000001,CUST_008172,2023-09-03,164883,Home Purchase,Retired,85399.18,0.828,675,Declined,0
APP_0000002,CUST_016851,2023-05-02,59782,Home Purchase,Full-time,20582.5,1.005,677,Declined,0
APP_0000003,CUST_016766,2024-08-08,23716,Car Purchase,Part-time,11860.21,0.694,732,Declined,0
APP_0000004,CUST_018679,2024-07-22,13514,Car Purchase,Part-time,16490.54,0.71,850,Declined,0
APP_0000005,CUST_019411,2024-08-13,13992,Car Purchase,Part-time,9600.0,0.53,630,Declined,0
APP_0000006,CUST_009563,2022-07-28,31787,Personal,Full-time,61328.77,0.501,848,Approved,0
APP_0000007,CUST_021003,2022-03-29,16539,Education,Part-time,9600.0,0.865,850,Declined,0
APP_0000008,CUST_017645,2022-07-03,14366,Business,Part-time,9600.0,0.508,558,Declined,0
APP_0000009,CUST_007556,2022-08-10,97776,Debt Consolidation,Part-time,47639.73,0.598,850,Declined,0
APP_0000010,CUST_000543,2023-01-13,527624,Personal,Retired,133522.11,1.077,834,Declined,0
APP_0000011,CUST_019864,2024-02-11,1904,Debt Consolidation,Student,2496.47,0.659,747,Declined,0
APP_0000012,CUST_016077,2023-09-16,18225,Education,Part-time,14407.89,0.704,645,Declined,0
APP_0000013,CUST_012265,2022-11-04,262794,Car Purchase,Retired,91770.23,0.762,813,Declined,0
APP_0000014,CUST_010791,2022-04-27,68901,Education,Part-time,26037.66,1.078,682,Declined,0
APP_0000015,CUST_017096,2024-01-18,2024,Home Improvement,Student,901.3,0.997,658,Declined,0
APP_0000016,CUST_013761,2023-12-16,54263,Business,Part-time,23329.26,0.763,719,Approved,0
APP_0000017,CUST_008767,2023-04-25,21664,Education,Part-time,42634.88,0.375,788,Approved,0
APP_0000018,CUST_020514,2024-07-02,44602,Personal,Full-time,16000.0,0.793,654,Declined,0
APP_0000019,CUST_016463,2023-08-01,7441,Home Improvement,Student,4473.49,0.903,644,Declined,0
APP_0000020,CUST_007197,2023-03-08,17848,Debt Consolidation,Student,6764.71,1.014,664,Declined,0
APP_0000021,CUST_024507,2022-09-06,35945,Debt Consolidation,Full-time,36653.55,0.686,648,Declined,0
APP_0000022,CUST_012801,2022-04-12,10242,Personal,Student,14297.41,0.407,646,Declined,0
APP_0000023,CUST_002065,2022-01-24,7589,Debt Consolidation,Part-time,10246.33,0.323,802,Approved,0
APP_0000024,CUST_000012,2023-08-20,63817,Debt Consolidation,Full-time,29737.52,0.794,850,Approved,0
APP_0000025,CUST_012367,2022-10-11,165323,Personal,Part-time,50941.5,0.805,850,Declined,0
APP_0000026,CUST_022547,2024-07-13,64500,Business,Full-time,55052.08,0.537,741,Declined,0
APP_0000027,CUST_009143,2023-02-21,412635,Business,Retired,138216.78,1.079,850,Declined,0
APP_0000028,CUST_013842,2024-09-22,65011,Education,Full-time,46649.37,0.754,699,Approved,0
APP_0000029,CUST_001998,2022-05-25,23851,Car Purchase,Student,6177.46,1.043,792,Declined,0
APP_0000030,CUST_004968,2024-05-29,267061,Business,Part-time,84102.5,0.972,833,Approved,0
APP_0000031,CUST_010561,2022-11-12,18812,Car Purchase,Part-time,32229.34,0.306,628,Declined,0
APP_0000032,CUST_022641,2023-11-28,151415,Debt Consolidation,Full-time,61797.44,0.696,850,Approved,0
APP_0000033,CUST_017013,2023-06-16,57745,Education,Part-time,33793.35,0.505,745,Declined,0
APP_0000034,CUST_024998,2024-08-24,23081,Debt Consolidation,Full-time,16000.0,0.447,658,Approved,0
APP_0000035,CUST_006612,2022-06-01,79318,Home Purchase,Full-time,56243.15,0.869,632,Declined,0
APP_0000036,CUST_023231,2024-06-29,534620,Debt Consolidation,Retired,139145.44,1.15,843,Declined,0
APP_0000037,CUST_006079,2022-07-25,31098,Personal,Student,10835.65,0.98,657,Declined,0
APP_0000038,CUST_003309,2022-10-08,302011,Debt Consolidation,Full-time,100263.89,0.74,850,Declined,0
APP_0000039,CUST_013225,2023-09-07,8041,Business,Unemployed,6935.46,0.426,736,Declined,0
APP_0000040,CUST_018829,2023-11-25,107838,Home Improvement,Self-employed,110574.49,0.471,668,Declined,0
APP_0000041,CUST_002322,2022-04-29,133938,Home Purchase,Part-time,60710.29,0.95,683,Approved,0
APP_0000042,CUST_002836,2024-12-28,66696,Home Purchase,Full-time,30201.19,0.901,733,Declined,0
APP_0000043,CUST_018932,2022-12-22,23443,Business,Student,12944.94,0.553,624,Declined,0
APP_0000044,CUST_001765,2022-06-05,29664,Business,Student,13377.34,0.884,724,Declined,0
APP_0000045,CUST_013745,2024-01-19,183093,Debt Consolidation,Retired,98955.41,0.765,850,Declined,0
APP_0000046,CUST_020573,2023-08-02,23009,Personal,Full-time,32983.92,0.459,801,Declined,0
APP_0000047,CUST_024465,2022-12-27,36248,Car Purchase,Full-time,24755.04,0.443,670,Approved,0
APP_0000048,CUST_016846,2023-09-15,192504,Personal,Full-time,48262.65,1.386,815,Approved,0
APP_0000049,CUST_004806,2022-07-19,34024,Car Purchase,Full-time,16000.0,0.779,750,Approved,0
APP_0000050,CUST_003017,2023-10-20,53902,Education,Full-time,82120.67,0.595,813,Declined,0
APP_0000051,CUST_005367,2023-03-02,53335,Debt Consolidation,Full-time,33833.57,0.68,754,Declined,0
APP_0000052,CUST_019344,2024-01-06,16252,Education,Unemployed,6208.41,0.958,663,Declined,0
APP_0000053,CUST_015581,2023-05-10,24739,Business,Part-time,13818.05,0.505,682,Declined,0
APP_0000054,CUST_017874,2022-08-23,269377,Debt Consolidation,Part-time,74803.31,1.053,803,Declined,0
APP_0000055,CUST_024713,2024-11-03,83623,Business,Full-time,23920.29,0.933,779,Approved,0
APP_0000056,CUST_012225,2024-03-01,9039,Car Purchase,Student,11580.13,0.459,720,Declined,0
APP_0000057,CUST_022354,2024-09-04,91931,Debt Consolidation,Contract,42859.83,0.548,817,Declined,0
APP_0000058,CUST_000364,2023-09-12,310403,Debt Consolidation,Retired,95353.76,0.835,850,Declined,0
APP_0000059,CUST_020273,2023-01-27,11047,Home Purchase,Contract,16098.13,0.324,623,Declined,0
APP_0000060,CUST_001635,2023-08-19,121549,Home Improvement,Part-time,31548.79,1.053,843,Declined,0
APP_0000061,CUST_008091,2022-06-09,84510,Business,Full-time,50087.64,0.638,713,Declined,0
APP_0000062,CUST_010422,2022-08-09,75304,Home Purchase,Part-time,21557.79,0.961,850,Approved,0
APP_0000063,CUST_002252,2024-12-25,111205,Car Purchase,Self-employed,44370.63,1.053,810,Declined,0
APP_0000064,CUST_004260,2022-02-09,70852,Debt Consolidation,Part-time,40906.34,0.573,683,Declined,0
APP_0000065,CUST_010545,2024-08-22,51470,Business,Full-time,18763.57,1.095,810,Approved,0
APP_0000066,CUST_001271,2023-10-24,223063,Business,Retired,157798.49,0.664,775,Declined,0
APP_0000067,CUST_019209,2022-07-07,37603,Home Purchase,Full-time,41542.37,0.648,741,Approved,0
APP_0000068,CUST_014250,2023-11-28,2357,Home Improvement,Unemployed,2177.1,0.762,697,Declined,0
APP_0000069,CUST_005420,2022-12-22,98076,Business,Full-time,38984.34,0.727,796,Approved,0
APP_0000070,CUST_002151,2022-02-11,1884,Education,Student,2381.13,0.446,643,Declined,0
APP_0000071,CUST_015092,2022-01-08,120209,Home Purchase,Self-employed,54019.14,0.645,711,Declined,0
APP_0000072,CUST_011486,2024-06-06,45443,Education,Full-time,44777.13,0.746,747,Declined,0
APP_0000073,CUST_015707,2024-07-10,6301,Home Improvement,Part-time,9600.0,0.413,739,Declined,0
APP_0000074,CUST_006351,2022-09-03,25805,Business,Part-time,14513.51,0.853,503,Declined,0
APP_0000075,CUST_020591,2024-10-22,83543,Car Purchase,Part-time,28407.79,0.774,777,Declined,0
APP_0000076,CUST_018906,2024-04-08,5983,Business,Student,6998.3,0.533,663,Declined,0
APP_0000077,CUST_020832,2023-02-22,171663,Business,Full-time,60816.24,0.714,707,Declined,0
APP_0000078,CUST_002612,2023-05-05,239658,Education,Self-employed,100122.37,0.879,747,Declined,0
APP_0000079,CUST_011692,2022-08-02,251585,Home Purchase,Retired,86146.53,0.771,795,Declined,0
APP_0000080,CUST_024911,2023-02-25,308778,Education,Contract,79116.01,1.059,839,Declined,0
APP_0000081,CUST_004816,2022-04-05,167610,Home Improvement,Full-time,57528.05,0.687,655,Declined,0
APP_0000082,CUST_015343,2022-10-24,35850,Personal,Part-time,9600.0,1.076,752,Declined,0
APP_0000083,CUST_007999,2022-09-16,133246,Car Purchase,Full-time,35522.52,1.105,761,Approved,1
APP_0000084,CUST_015473,2022-06-14,31119,Business,Student,13926.11,0.679,793,Declined,0
APP_0000085,CUST_015585,2022-04-08,74396,Home Improvement,Full-time,18655.44,1.128,751,Approved,0
APP_0000086,CUST_023878,2023-07-04,105040,Education,Part-time,44851.15,1.058,833,Declined,0
APP_0000087,CUST_019115,2024-12-09,63705,Business,Self-employed,53320.92,0.517,850,Approved,0
APP_0000088,CUST_023178,2022-12-24,58725,Debt Consolidation,Full-time,30239.9,0.929,713,Declined,0
APP_0000089,CUST_012027,2023-05-31,98314,Personal,Full-time,56497.94,0.848,712,Approved,0
APP_0000090,CUST_011271,2023-07-05,3186,Home Improvement,Student,3182.13,0.382,472,Declined,0
APP_0000091,CUST_018928,2022-01-16,46977,Education,Full-time,40814.01,0.343,850,Approved,0
APP_0000092,CUST_007884,2023-05-09,15895,Business,Student,9949.99,0.761,670,Declined,0
APP_0000093,CUST_003677,2022-05-27,66174,Education,Part-time,44447.01,0.615,668,Declined,0
APP_0000094,CUST_004379,2023-02-25,28092,Personal,Part-time,48380.11,0.411,850,Approved,0
APP_0000095,CUST_013099,2022-11-23,192631,Personal,Full-time,90627.39,0.956,839,Approved,0
APP_0000096,CUST_000889,2022-08-05,173101,Education,Full-time,45851.24,1.227,849,Declined,0
APP_0000097,CUST_017197,2022-06-05,7120,Debt Consolidation,Student,13968.48,0.246,640,Declined,0
APP_0000098,CUST_000458,2024-06-22,15477,Education,Student,5342.91,1.041,839,Declined,0
APP_0000099,CUST_002437,2024-09-20,181112,Business,Full-time,72678.81,0.727,771,Approved,0
APP_0000100,CUST_012332,2022-06-13,116243,Business,Part-time,42186.3,1.068,684,Declined,0
APP_0000101,CUST_020798,2023-04-11,46724,Personal,Full-time,38356.01,0.823,775,Approved,0
APP_0000102,CUST_012195,2023-01-05,26161,Business,Part-time,24935.81,0.703,668,Declined,0
APP_0000103,CUST_022355,2024-10-31,179440,Education,Part-time,61002.38,1.049,786,Declined,0
APP_0000104,CUST_021471,2022-03-18,110788,Business,Full-time,50968.07,0.962,777,Declined,0
APP_0000105,CUST_023533,2024-03-14,11703,Business,Part-time,19218.71,0.416,636,Declined,0
