transaction_id,customer_id,transaction_date,amount,merchant_category,transaction_type,location,device_info,fraud_flag,investigation_status
TXN_00000001,CUST_004019,2024-03-25 11:24:31,34.85,Groceries,Purchase,Manchester,Mobile,0,Not Investigated
TXN_00000002,CUST_000222,2022-05-24 14:21:01,84.32,Fuel,Purchase,Bristol,Mobile,0,Not Investigated
TXN_00000003,CUST_007895,2023-01-15 10:15:41,6.82,Fuel,Purchase,London,Chip,0,Not Investigated
TXN_00000004,CUST_021148,2023-10-03 06:15:45,59.9,Groceries,Purchase,Birmingham,Contactless,0,Not Investigated
TXN_00000005,CUST_016591,2024-11-24 09:09:02,71.01,Transfer,Transfer,Leeds,Desktop,0,Not Investigated
TXN_00000006,CUST_020498,2024-09-27 21:49:42,95.83,Transfer,Transfer,Glasgow,Mobile,0,Not Investigated
TXN_00000007,CUST_020716,2024-07-09 05:26:31,37.66,Groceries,Purchase,London,ATM,0,Not Investigated
TXN_00000008,CUST_001376,2023-06-21 18:45:23,240.34,Fuel,Purchase,Newcastle,Desktop,0,Not Investigated
TXN_00000009,CUST_019424,2023-10-12 12:53:51,8.34,Entertainment,Purchase,Newcastle,Desktop,0,Not Investigated
TXN_00000010,CUST_019615,2023-05-08 10:55:41,344.57,Online Shopping,Purchase,Bristol,Mobile,0,Not Investigated
TXN_00000011,CUST_007551,2023-10-06 05:08:00,252.04,Restaurants,Purchase,Leeds,ATM,0,Not Investigated
TXN_00000012,CUST_014020,2023-06-18 14:33:23,22.08,Online Shopping,Purchase,London,ATM,0,Not Investigated
TXN_00000013,CUST_003851,2023-09-29 07:03:24,33.65,Utilities,Purchase,Manchester,Mobile,0,Not Investigated
TXN_00000014,CUST_021637,2023-09-08 15:25:54,51.93,Restaurants,Purchase,Cardiff,Desktop,0,Not Investigated
TXN_00000015,CUST_017821,2023-09-07 14:44:12,47.06,Travel,Purchase,Newcastle,ATM,0,Not Investigated
TXN_00000016,CUST_011123,2023-01-07 19:50:21,30.32,Fuel,Purchase,Liverpool,Contactless,0,Not Investigated
TXN_00000017,CUST_005804,2022-11-04 23:33:01,50.5,Online Shopping,Purchase,Bristol,Desktop,0,Not Investigated
TXN_00000018,CUST_002841,2022-03-12 02:03:17,13.16,Healthcare,Purchase,Manchester,Mobile,0,Not Investigated
TXN_00000019,CUST_018212,2024-12-08 12:28:35,198.05,Groceries,Purchase,Liverpool,Desktop,0,Not Investigated
TXN_00000020,CUST_012248,2024-05-08 15:17:55,24.03,Groceries,Purchase,London,ATM,0,Not Investigated
TXN_00000021,CUST_001442,2022-01-15 14:58:46,10.15,Utilities,Purchase,Bristol,Contactless,0,Not Investigated
TXN_00000022,CUST_010628,2022-09-12 12:50:37,408.22,Healthcare,Purchase,Manchester,Mobile,0,Not Investigated
TXN_00000023,CUST_001008,2023-05-31 10:39:43,281.72,Fuel,Purchase,Sheffield,ATM,0,Not Investigated
TXN_00000024,CUST_003280,2023-02-01 14:41:56,9.77,Entertainment,Purchase,Cardiff,Desktop,0,Not Investigated
TXN_00000025,CUST_015420,2022-11-30 11:02:23,138.6,Entertainment,Purchase,Sheffield,Chip,0,Not Investigated
TXN_00000026,CUST_019959,2023-12-29 17:50:09,2.37,Groceries,Purchase,Newcastle,Chip,0,Not Investigated
TXN_00000027,CUST_004052,2022-11-19 20:21:46,57.24,Restaurants,Purchase,Cardiff,Mobile,0,Not Investigated
TXN_00000028,CUST_011324,2022-06-08 09:04:03,8.09,Restaurants,Purchase,Bristol,Mobile,0,Not Investigated
TXN_00000029,CUST_022097,2023-08-31 23:41:23,50.2,Entertainment,Purchase,London,Contactless,0,Not Investigated
TXN_00000030,CUST_022531,2023-11-28 22:41:50,116.35,Healthcare,Purchase,Leeds,ATM,0,Not Investigated
TXN_00000031,CUST_015708,2023-10-14 21:14:27,48.01,Healthcare,Purchase,Liverpool,Desktop,0,Not Investigated
TXN_00000032,CUST_021888,2024-08-05 17:56:52,51.92,Online Shopping,Purchase,Glasgow,Chip,0,Not Investigated
TXN_00000033,CUST_021927,2024-02-18 14:09:24,110.86,Entertainment,Purchase,Cardiff,Mobile,0,Not Investigated
TXN_00000034,CUST_014629,2023-12-19 10:58:30,59.29,Utilities,Purchase,Bristol,Chip,0,Not Investigated
TXN_00000035,CUST_023722,2023-05-03 07:48:56,55.63,Groceries,Purchase,Sheffield,Chip,0,Not Investigated
TXN_00000036,CUST_007053,2022-07-14 01:02:39,28.34,Restaurants,Purchase,Bristol,Contactless,0,Not Investigated
TXN_00000037,CUST_021601,2024-11-18 06:06:44,59.25,Groceries,Purchase,Newcastle,ATM,0,Not Investigated
TXN_00000038,CUST_001284,2023-04-27 11:10:47,4.33,Entertainment,Purchase,Leeds,Chip,0,Not Investigated
TXN_00000039,CUST_007200,2023-09-10 15:22:00,111.44,Online Shopping,Purchase,Manchester,Desktop,0,Not Investigated
TXN_00000040,CUST_024396,2023-02-12 14:54:53,12.12,Groceries,Purchase,Glasgow,Desktop,0,Not Investigated
TXN_00000041,CUST_012546,2023-09-07 21:04:18,6.54,Groceries,Purchase,Sheffield,Contactless,0,Not Investigated
TXN_00000042,CUST_020020,2022-02-05 16:28:41,428.02,Restaurants,Purchase,Birmingham,ATM,0,Not Investigated
TXN_00000043,CUST_007560,2024-12-21 01:14:14,68.09,Transfer,Transfer,Leeds,Chip,0,Not Investigated
TXN_00000044,CUST_023834,2023-09-06 09:15:26,11.38,Healthcare,Purchase,Bristol,Mobile,0,Not Investigated
TXN_00000045,CUST_020526,2022-10-15 22:25:57,1.11,Healthcare,Purchase,Sheffield,ATM,0,Not Investigated
TXN_00000046,CUST_015815,2023-05-05 18:55:05,3.16,Entertainment,Purchase,Birmingham,ATM,0,Not Investigated
TXN_00000047,CUST_002118,2024-11-09 04:20:47,2.06,Entertainment,Purchase,Liverpool,ATM,0,Not Investigated
TXN_00000048,CUST_019493,2022-04-21 17:24:56,61.56,Restaurants,Purchase,Liverpool,Chip,0,Not Investigated
TXN_00000049,CUST_001353,2022-02-18 21:44:24,8.09,Restaurants,Purchase,Sheffield,Contactless,0,Not Investigated
TXN_00000050,CUST_018752,2023-02-22 07:12:41,23.34,Restaurants,Purchase,Leeds,Desktop,0,Not Investigated
TXN_00000051,CUST_007696,2024-04-29 07:58:28,9.05,Online Shopping,Purchase,Glasgow,Mobile,0,Not Investigated
TXN_00000052,CUST_021491,2022-09-29 15:46:41,74.04,Travel,Purchase,Liverpool,Chip,0,Not Investigated
TXN_00000053,CUST_000821,2024-02-23 04:44:08,100.31,Travel,Purchase,Bristol,Desktop,0,Not Investigated
TXN_00000054,CUST_023521,2022-03-24 12:10:05,8.77,Online Shopping,Purchase,London,ATM,0,Not Investigated
TXN_00000055,CUST_021975,2022-04-26 05:08:14,95.0,Fuel,Purchase,London,Chip,0,Not Investigated
TXN_00000056,CUST_024496,2024-11-06 02:58:17,137.63,Healthcare,Purchase,Sheffield,Mobile,0,Not Investigated
TXN_00000057,CUST_004580,2023-12-10 16:25:07,51.01,Restaurants,Purchase,Bristol,Contactless,0,Not Investigated
TXN_00000058,CUST_005972,2023-03-22 07:58:17,109.56,Online Shopping,Purchase,Glasgow,Desktop,0,Not Investigated
TXN_00000059,CUST_013616,2023-06-25 01:52:06,26.11,Restaurants,Purchase,Leeds,Desktop,0,Not Investigated
TXN_00000060,CUST_019967,2023-04-18 21:33:25,21.72,Entertainment,Purchase,Cardiff,Chip,0,Not Investigated
TXN_00000061,CUST_019012,2023-11-04 04:43:17,3.94,Entertainment,Purchase,Newcastle,Desktop,0,Not Investigated
TXN_00000062,CUST_017107,2024-07-24 08:53:58,74.45,Groceries,Purchase,Liverpool,Contactless,0,Not Investigated
TXN_00000063,CUST_018339,2023-09-15 10:42:52,54.15,Groceries,Purchase,Manchester,ATM,0,Not Investigated
TXN_00000064,CUST_012522,2023-09-19 08:20:39,308.73,Healthcare,Purchase,Newcastle,Chip,0,Not Investigated
TXN_00000065,CUST_014151,2022-10-04 22:43:11,69.78,Fuel,Purchase,Birmingham,Chip,0,Not Investigated
TXN_00000066,CUST_014214,2023-10-22 20:47:06,215.1,Utilities,Purchase,Liverpool,Contactless,0,Not Investigated
TXN_00000067,CUST_006029,2023-04-01 21:35:18,55.51,Travel,Purchase,Bristol,Chip,0,Not Investigated
TXN_00000068,CUST_006413,2024-04-13 01:46:59,37.56,Groceries,Purchase,Bristol,Chip,0,Not Investigated
TXN_00000069,CUST_006941,2024-06-06 20:00:02,46.86,Online Shopping,Purchase,Cardiff,Mobile,0,Not Investigated
TXN_00000070,CUST_024271,2024-09-14 23:51:59,26.31,Entertainment,Purchase,Bristol,ATM,0,Not Investigated
TXN_00000071,CUST_002112,2024-01-16 02:16:35,33.65,Online Shopping,Purchase,Bristol,ATM,0,Not Investigated
TXN_00000072,CUST_021825,2022-11-06 22:14:52,69.07,Online Shopping,Purchase,Sheffield,Desktop,0,Not Investigated
TXN_00000073,CUST_023555,2024-09-29 07:20:20,211.43,ATM,ATM Withdrawal,Birmingham,Desktop,0,Not Investigated
TXN_00000074,CUST_008927,2022-01-09 10:52:14,4.36,Entertainment,Purchase,Leeds,Desktop,0,Not Investigated
TXN_00000075,CUST_018589,2022-06-12 17:04:48,20.48,Entertainment,Purchase,Sheffield,ATM,0,Not Investigated
TXN_00000076,CUST_007932,2022-10-15 02:17:43,55.35,Fuel,Purchase,Leeds,ATM,0,Not Investigated
TXN_00000077,CUST_020292,2022-11-20 02:17:01,210.08,Healthcare,Purchase,Liverpool,Desktop,0,Not Investigated
TXN_00000078,CUST_020655,2022-04-09 20:53:59,7.19,Online Shopping,Purchase,Sheffield,ATM,0,Not Investigated
TXN_00000079,CUST_015352,2024-08-16 04:44:30,234.89,Restaurants,Purchase,Manchester,Mobile,0,Not Investigated
TXN_00000080,CUST_008994,2024-11-17 05:57:06,262.23,Fuel,Purchase,Bristol,Mobile,0,Not Investigated
TXN_00000081,CUST_014866,2024-05-31 03:05:39,18.45,Groceries,Purchase,Birmingham,Contactless,0,Not Investigated
TXN_00000082,CUST_018748,2023-07-19 15:07:37,62.57,Fuel,Purchase,Newcastle,Mobile,0,Not Investigated
TXN_00000083,CUST_009197,2024-08-30 05:46:40,192.18,Restaurants,Purchase,Cardiff,ATM,0,Not Investigated
